Model,Prompt,Tier,Avg_Latency_s,Avg_Tokens_per_s,Avg_CPU_%,Avg_RAM_%,Avg_Temp_C,Accuracy_%,Performance_Score,family,Family,TokensNorm,AccNorm,LatNorm,RAMNorm,CompositeNormScore
llama3.1:8b,Summarize the impact of social media on modern communication.,general,0.4703500270843506,26.860812488677933,3.0,22.3,57.17401329280168,85.54798771916423,478.37791763144384,llama,llama,0.8915055966199665,0.7301261895250845,0.38123053927743117,0.16000000000000086,0.7833939876500258
llama3.2:3b,A train leaves City A at 9 AM at 60 km/h and another from City B at 10 AM at 90 ,reasoning,0.2025716304779052,19.851444138606745,3.95,22.25,60.24561574656322,89.17877331981498,832.8145354710391,llama,llama,0.6492353672271433,0.8344043068990725,0.15418704085430177,0.14000000000000057,0.7651780307897187
llama3.2:1b,Explain how the human respiratory system works in simple terms.,factual,0.1771292686462402,16.825838618058444,2.6,22.4,56.2092731658943,90.62914857311668,814.8973375544376,llama,llama,0.5446590192730536,0.8760598650992082,0.13261501371688453,0.2,0.734158564495607
llama3.2:1b,Draft a short email to a professor requesting an extension for a project deadlin,general,0.7608578205108643,22.933066576135648,3.65,22.3,59.59145944805367,91.73648392046238,272.9165920395447,llama,llama,0.7557478712867446,0.9078631324973669,0.627545800607784,0.16000000000000086,0.733148928142351
llama3.1:8b,What is the difference between supervised and unsupervised learning in machine l,factual,0.0973579883575439,28.86214315785609,5.05,22.3,57.161530663901615,67.47943747934222,1814.118552831024,llama,llama,0.9606791392413583,0.21118769799084017,0.06497867419149621,0.16000000000000086,0.718632230255496
