Model,Prompt,Tier,Avg_Latency_s,Avg_Tokens_per_s,Avg_CPU_%,Avg_RAM_%,Avg_Temp_C,Accuracy_%,Performance_Score,family,Family,TokensNorm,AccNorm,LatNorm,RAMNorm,CompositeNormScore
deepseek-r1:7b,What is the difference between supervised and unsupervised learning in machine l,factual,0.1941723823547363,27.695570552311807,3.5,22.3,62.77542422602724,79.38336021501297,1076.819219209876,deepseek,deepseek,0.9203579863737499,0.5530747683864796,0.14706550042320088,0.16000000000000086,0.7886525249808036
deepseek-r1:8b,Create a function that sorts a list of dictionaries by a key named 'score'.,coding,0.7161667346954346,23.360075950757807,1.8,22.2,59.76730361114557,94.281789562557,303.2953259527137,deepseek,deepseek,0.7705069271639473,0.9809656810068258,0.5896531976179459,0.12000000000000029,0.7725618356440375
deepseek-r1:7b,Who wrote the novel '1984' and what are its central themes?,factual,0.6502714157104492,17.709258913882138,3.0,22.4,57.644051405485584,91.96844747677424,246.67023431894268,deepseek,deepseek,0.5751933594632517,0.9145252507307435,0.5337819849224441,0.2,0.677678522020035
deepseek-r1:1.5b,You are given a 3x3 grid with numbers 1 to 9. Find the path from top-left to bot,reasoning,1.032527208328247,24.659674160893857,5.25,22.6,60.83862894203754,89.08046451604815,210.70867134387245,deepseek,deepseek,0.8154259470760575,0.8315808251224961,0.8578883861419744,0.28000000000000114,0.6760669491387769
deepseek-r1:7b,"In a group of 50 students, 30 play football, 25 play cricket, and 10 play both. ",reasoning,0.5206160545349121,27.235250377547537,8.2,23.05,57.05946979768686,75.05812704684301,385.255377314642,deepseek,deepseek,0.904447583500836,0.42885174296204964,0.4238500144436136,0.46000000000000085,0.6596645534002264
