Model,Prompt,Tier,Avg_Latency_s,Avg_Tokens_per_s,Avg_CPU_%,Avg_RAM_%,Avg_Temp_C,Accuracy_%,Performance_Score,family,Family,TokensNorm,AccNorm,LatNorm,RAMNorm,CompositeNormScore
qwen3:8b,Write a JSON command that turns on a living room light and sets brightness to 70,tier_3_creative,0.7263624668121338,29.137936816775493,0.35,21.9,57.91229088946588,85.17713426084967,337.04677630722284,qwen,qwen,0.9702116091693813,0.7194750785237234,0.5982979378886206,0.0,0.7842675796471453
gemma3:4b,"If all bloops are razzies and some razzies are lazzies, can we conclude that som",reasoning,0.3084907531738281,29.42599892260764,3.85,23.0,59.99739386423319,90.15111001410352,832.9241711764975,gemma,gemma,0.9801681229340811,0.862330340294127,0.24399356920593276,0.44000000000000056,0.8579676374206839
deepseek-r1:7b,What is the difference between supervised and unsupervised learning in machine l,factual,0.1941723823547363,27.695570552311807,3.5,22.3,62.77542422602724,79.38336021501297,1076.819219209876,deepseek,deepseek,0.9203579863737499,0.5530747683864796,0.14706550042320088,0.16000000000000086,0.7886525249808036
llama3.1:8b,Summarize the impact of social media on modern communication.,general,0.4703500270843506,26.860812488677933,3.0,22.3,57.17401329280168,85.54798771916423,478.37791763144384,llama,llama,0.8915055966199665,0.7301261895250845,0.38123053927743117,0.16000000000000086,0.7833939876500258
smollm2:1.7b,Describe a peaceful morning scene in a small village.,general,0.0890262126922607,22.67707416909624,2.7,22.2,57.009204571073965,94.73711534033252,2169.486778026448,smollm,smollm,0.7468998073701681,0.9940428825055232,0.05791434219498046,0.12000000000000029,0.8733899192607281
